speaker,start_time,end_time,emotion,scores
MATT,00:00:00,00:00:24,disgust,"{'angry': 0.0047220708802342415, 'calm': 0.0006308535812422633, 'disgust': 0.9796319603919983, 'fearful': 0.0021804911084473133, 'happy': 0.0032219928689301014, 'sad': 0.00801638513803482, 'surprised': 0.00159627350512892}"
MATT,00:00:24,00:01:09,disgust,"{'angry': 0.006004597060382366, 'calm': 0.0005230017704889178, 'disgust': 0.9795596599578857, 'fearful': 0.0021778184454888105, 'happy': 0.0036157916765660048, 'sad': 0.006324813701212406, 'surprised': 0.0017942835111171007}"
TRAVIS,00:01:09,00:01:30,disgust,"{'angry': 0.0028285253793001175, 'calm': 0.00055469642393291, 'disgust': 0.9707103371620178, 'fearful': 0.004171587992459536, 'happy': 0.0024686569813638926, 'sad': 0.01772887632250786, 'surprised': 0.0015372927300632}"
TRAVIS,00:01:30,00:02:57,disgust,"{'angry': 0.0041028098203241825, 'calm': 0.0007305519538931549, 'disgust': 0.938832700252533, 'fearful': 0.013332333415746689, 'happy': 0.003966148942708969, 'sad': 0.03750724345445633, 'surprised': 0.0015281892847269773}"
MARISHA,00:02:57,00:03:14,sad,"{'angry': 0.0010768295032903552, 'calm': 0.0011885380372405052, 'disgust': 0.23042108118534088, 'fearful': 0.048768918961286545, 'happy': 0.0007721682195551693, 'sad': 0.7156890034675598, 'surprised': 0.002083434956148267}"
MARISHA,00:03:14,00:05:01,sad,"{'angry': 0.00033324057585559785, 'calm': 0.0013878975296393037, 'disgust': 0.022139137610793114, 'fearful': 0.05374440550804138, 'happy': 0.00033187304507009685, 'sad': 0.920948326587677, 'surprised': 0.0011151416692882776}"
TALIESIN,00:05:01,00:06:15,sad,"{'angry': 0.0004836283333133906, 'calm': 0.0012204634258523583, 'disgust': 0.05124934762716293, 'fearful': 0.05412572622299194, 'happy': 0.00043305367580614984, 'sad': 0.8911356329917908, 'surprised': 0.0013521098298951983}"
SAM,00:06:15,00:07:37,sad,"{'angry': 0.0002246215008199215, 'calm': 0.0016751826042309403, 'disgust': 0.017094431445002556, 'fearful': 0.017483333125710487, 'happy': 0.00016270494961645454, 'sad': 0.9620553851127625, 'surprised': 0.0013042782666161656}"
ORION,00:07:37,00:09:34,sad,"{'angry': 0.0007072783191688359, 'calm': 0.0014842074597254395, 'disgust': 0.040278296917676926, 'fearful': 0.17047445476055145, 'happy': 0.0009606907260604203, 'sad': 0.7850165963172913, 'surprised': 0.0010785647900775075}"
LIAM,00:09:34,00:11:03,disgust,"{'angry': 0.002139032119885087, 'calm': 0.000679928227327764, 'disgust': 0.9347566366195679, 'fearful': 0.008417853154242039, 'happy': 0.0018848911859095097, 'sad': 0.05049392580986023, 'surprised': 0.0016276756068691611}"
LAURA,00:11:03,00:12:30,sad,"{'angry': 0.00023068604059517384, 'calm': 0.0016153526958078146, 'disgust': 0.016624419018626213, 'fearful': 0.0239319559186697, 'happy': 0.00019120806246064603, 'sad': 0.9562506079673767, 'surprised': 0.0011558042606338859}"
MATT,00:12:30,00:12:58,disgust,"{'angry': 0.004557352047413588, 'calm': 0.0014796847244724631, 'disgust': 0.6313120126724243, 'fearful': 0.10086671262979507, 'happy': 0.004794014152139425, 'sad': 0.2549436092376709, 'surprised': 0.0020465718116611242}"
ZAC,00:12:58,00:13:04,sad,"{'angry': 0.0013284030137583613, 'calm': 0.001545614912174642, 'disgust': 0.06043338030576706, 'fearful': 0.30573204159736633, 'happy': 0.001960810273885727, 'sad': 0.6278244853019714, 'surprised': 0.001175284618511796}"
MATT,00:13:04,00:13:05,disgust,"{'angry': 0.00364160374738276, 'calm': 0.0006778425886295736, 'disgust': 0.921934962272644, 'fearful': 0.01841616816818714, 'happy': 0.004154994618147612, 'sad': 0.04908996447920799, 'surprised': 0.0020845457911491394}"
ZAC,00:13:05,00:13:07,sad,"{'angry': 0.0012603376526385546, 'calm': 0.0016379173612222075, 'disgust': 0.09775574505329132, 'fearful': 0.1886506974697113, 'happy': 0.0016937650507315993, 'sad': 0.7078061103820801, 'surprised': 0.0011954380897805095}"
