speaker,start_time,end_time,reason
MARISHA,00:17:00,00:17:00,invalid_range
LAURA,00:20:02,00:20:02,invalid_range
LAURA,00:21:10,00:21:10,invalid_range
LAURA,00:30:44,00:30:44,invalid_range
LAURA,00:34:48,00:34:48,invalid_range
LAURA,00:38:50,00:38:50,invalid_range
LAURA,00:41:42,00:41:42,invalid_range
LAURA,00:47:16,00:47:16,invalid_range
LAURA,00:52:45,00:52:45,invalid_range
SAM,00:54:24,00:54:24,invalid_range
LAURA,00:57:55,00:57:55,invalid_range
LAURA,00:57:57,00:57:57,invalid_range
LAURA,01:02:37,01:02:37,invalid_range
LAURA,01:03:51,01:03:51,invalid_range
LIAM,01:05:03,01:05:03,invalid_range
MATT,01:08:37,01:08:37,invalid_range
MATT,01:10:45,01:10:45,invalid_range
MARISHA,01:11:48,01:11:48,invalid_range
LIAM,01:14:21,01:14:21,invalid_range
SAM,01:16:22,01:16:22,invalid_range
LAURA,01:16:39,01:16:39,invalid_range
SAM,01:18:43,01:18:43,invalid_range
LAURA,01:19:53,01:19:53,invalid_range
LIAM,01:20:24,01:20:24,invalid_range
SAM,01:20:56,01:20:56,invalid_range
LAURA,01:23:36,01:23:36,invalid_range
MARISHA,01:24:31,01:24:31,invalid_range
LIAM,01:25:51,01:25:51,invalid_range
LAURA,01:31:12,01:31:12,invalid_range
LAURA,01:45:12,01:45:12,invalid_range
LAURA,01:45:15,01:45:15,invalid_range
TRAVIS,01:46:19,01:46:19,invalid_range
LAURA,02:34:31,02:34:31,invalid_range
SAM,02:38:30,02:38:30,invalid_range
TRAVIS,02:46:50,02:46:50,invalid_range
MATT,02:50:03,02:50:03,invalid_range
MATT,03:03:32,,missing_end_time
