speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:05,happy,"{'angry': 0.00014251458924263716, 'disgust': 7.250949420267716e-05, 'fearful': 0.00022464912035502493, 'happy': 0.999203622341156, 'neutral': 8.082410204224288e-05, 'sad': 0.00011999936396023259, 'surprised': 0.0001559011870995164}","Hello everyone, and welcome to Critical Role where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:05,00:00:08,angry,"{'angry': 0.8851619362831116, 'disgust': 0.00046285311691462994, 'fearful': 0.10923368483781815, 'happy': 0.0028940574266016483, 'neutral': 0.0006204031524248421, 'sad': 0.00028324962477199733, 'surprised': 0.0013437013840302825}",(discordantly) We play Dungeons & Dragons!
MATT,00:00:08,00:00:18,happy,"{'angry': 0.002438022755086422, 'disgust': 0.0006257355562411249, 'fearful': 0.14328953623771667, 'happy': 0.7971800565719604, 'neutral': 0.0009277270874008536, 'sad': 0.0009723326656967402, 'surprised': 0.05456661805510521}","Before we get into tonight's episode, we do we have some announcements to get through. Beginning with our two sponsors for the night, beginning first with Petersen Games. Sam, take it away."
SAM,00:00:18,00:00:21,happy,"{'angry': 0.0001253182126674801, 'disgust': 5.493701246450655e-05, 'fearful': 0.00010385103087173775, 'happy': 0.9994518160820007, 'neutral': 6.200282223289832e-05, 'sad': 8.721929771127179e-05, 'surprised': 0.00011483734851935878}","(bad Dave Matthews impression) Oh oh, I didn't see you there. I was--"
MARISHA,00:00:21,00:00:24,happy,"{'angry': 0.0012670314172282815, 'disgust': 0.0003472873067948967, 'fearful': 0.004151515197008848, 'happy': 0.9929279685020447, 'neutral': 0.0002518124529160559, 'sad': 0.0008129682973958552, 'surprised': 0.00024147864314727485}",Oh no! (laughter)
SAM,00:00:24,00:00:36,happy,"{'angry': 0.0001887296384666115, 'disgust': 0.00014227921201381832, 'fearful': 0.0004207825695630163, 'happy': 0.9987755417823792, 'neutral': 9.163407958112657e-05, 'sad': 0.00012161362974438816, 'surprised': 0.0002594820107333362}","I was jamming out to some frat fusion rock. You see, I'm Bob Matthews, Dave Matthews' ♪ younger brother. ♪ What-a would you say if I told you--"
ASHLEY,00:00:36,00:00:37,fearful,"{'angry': 0.0008675584685988724, 'disgust': 0.0010789460502564907, 'fearful': 0.9051671028137207, 'happy': 0.089090496301651, 'neutral': 0.00043394678505137563, 'sad': 0.0021644877269864082, 'surprised': 0.0011973727960139513}",Oh wow.
SAM,00:00:37,00:01:44,happy,"{'angry': 0.0010125094559043646, 'disgust': 0.0005232522380538285, 'fearful': 0.017286794260144234, 'happy': 0.9765278697013855, 'neutral': 0.0004441519267857075, 'sad': 0.0005417551146820188, 'surprised': 0.003663549665361643}","-- if I told you that Petersen Games is the best of what's around? Yep, their brand new source book, Cthulhu Mythos Sagas: Dark ♪ Worlds ♪ make me want to ♪ eat, drink and be merry for tomorrow. ♪ ♪ Yes! ♪ All you little ants better go march into-- step into this ♪ immersive world ♪ from Sandy Petersen, as you and fellow heroes get caught-- (badly played guitar chords) in the blunders of a mad ruler, and are sent to new worlds to face unique dangers. (laughter) (terribly played chords continue) Each of the four volumes comes with professionally drawn ♪ maps ♪, beautiful illustrations and dozens before never seen monsters in a hardback book to last the ♪ ages. ♪ Do not take these chances. Get this source book and wrap it up-- (guitar chord) inside a-- (guitar chord) box or a-- (guitar chord) quiet-- (80's phone ring) Oh, hello? Hello? Oh, Bob Matthews here, kid brother of Charlottesville legend, Dave Matthews. What? Oh, it's my brother, Dave Matthews, ooh. He's a big Critter."
ASHLEY,00:01:44,00:01:47,happy,"{'angry': 8.986600005300716e-05, 'disgust': 0.00011698992602759972, 'fearful': 0.0009155537700280547, 'happy': 0.9982403516769409, 'neutral': 9.926392522174865e-05, 'sad': 0.00019696024537552148, 'surprised': 0.00034103612415492535}",Ooh! (laughter)
SAM,00:01:47,00:02:39,happy,"{'angry': 0.0007793781696818769, 'disgust': 0.00029207736952230334, 'fearful': 0.003016197355464101, 'happy': 0.9946734309196472, 'neutral': 0.0002736333990469575, 'sad': 0.0004217740788590163, 'surprised': 0.0005435333005152643}","Oh, what's that, Dave Matthews? He's telling me I shouldn't use his lyrics to sell stuff on our show. But Davy, this isn't a typical situation in these typical ti-- nope. I'm not allowed to say that either, all right. Well, he hung up. Anyway, I guess I ♪ crashed ♪ that one, but go ahead and get the hardcover-- (guitar chord) volume and PDF-- (guitar chord) plus an awesome 20 percent discount on Petersen's Cthulhu Mythos mini-- miniature line. (guitar chord) The core source book-- there's lots of words. And the four previous sagas of the series-- (awful guitar chords) when you use promo code ♪ Critical Role ♪ at checkout. ♪ Check it out now at bit.ly/CRPetersenGames... Satellite. Back to you, Matt. (laughter)"
