speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:06,happy,"{'angry': 0.00011814293975476176, 'disgust': 8.012726902961731e-05, 'fearful': 0.0001936936896527186, 'happy': 0.9992287158966064, 'neutral': 8.562502625863999e-05, 'sad': 0.00016030474216677248, 'surprised': 0.00013347878120839596}","Hello, and welcome to Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
TRAVIS,00:00:06,00:00:10,happy,"{'angry': 0.016435816884040833, 'disgust': 0.000486495322547853, 'fearful': 0.0019357437267899513, 'happy': 0.9803779721260071, 'neutral': 0.0002931560738943517, 'sad': 0.00013499738997779787, 'surprised': 0.0003357903042342514}",(hollering) We play Dungeons & Dragons!
LAURA,00:00:10,00:00:11,fearful,"{'angry': 0.00037357330438680947, 'disgust': 0.00020612632215488702, 'fearful': 0.9883450269699097, 'happy': 0.0020580519922077656, 'neutral': 0.00013767923519480973, 'sad': 0.008759516291320324, 'surprised': 0.00012007085751974955}",Oh my god.
ASHLEY,00:00:11,00:00:13,happy,"{'angry': 0.0008017632644623518, 'disgust': 0.002318137791007757, 'fearful': 0.05919010564684868, 'happy': 0.8057127594947815, 'neutral': 0.0014052307233214378, 'sad': 0.12968091666698456, 'surprised': 0.0008911160402931273}",Oh man!
SAM,00:00:13,00:00:15,sad,"{'angry': 0.0004243460716679692, 'disgust': 0.0008991603972390294, 'fearful': 0.050270531326532364, 'happy': 0.0014593095984309912, 'neutral': 0.000820726272650063, 'sad': 0.9458919763565063, 'surprised': 0.0002339178608963266}",Oh man.
MATT,00:00:15,00:00:38,happy,"{'angry': 0.007384911645203829, 'disgust': 0.0032097059302031994, 'fearful': 0.07900349795818329, 'happy': 0.8901441693305969, 'neutral': 0.005061489529907703, 'sad': 0.010058038868010044, 'surprised': 0.0051381406374275684}","Missed you guys so much. Thank you, all, so much for your patience, as we all adjusted to this pandemic. We kept ourselves and our crew safe and healthy and worked on a process of getting us to this optimal setup, which was brainstormed and developed by our fantastic production team. Thank you so much to our production team and Marisha."
TRAVIS,00:00:38,00:00:39,sad,"{'angry': 0.11224659532308578, 'disgust': 0.0035157110542058945, 'fearful': 0.14305207133293152, 'happy': 0.19481219351291656, 'neutral': 0.03988400474190712, 'sad': 0.5047789812088013, 'surprised': 0.0017104705329984426}","Yes, yes, yes! Yeah, snap."
MATT,00:00:39,00:01:00,happy,"{'angry': 0.015075563453137875, 'disgust': 0.003966840915381908, 'fearful': 0.20432066917419434, 'happy': 0.7525684237480164, 'neutral': 0.00499340845271945, 'sad': 0.014779292047023773, 'surprised': 0.004295773804187775}","The content team's working so hard throughout this time to get us back here in a very safe manner. And thank you for your patience, guys, sincerely. This is really exciting. It's not until-- and I'm sure some of you can speak to this, too-- it's not until this is taken from you that you realize how important of a rock it is in your weekly life, let alone daily life and--"
LIAM,00:01:00,00:01:02,happy,"{'angry': 0.0004435816081240773, 'disgust': 0.0005332684377208352, 'fearful': 0.00916977971792221, 'happy': 0.9852177500724792, 'neutral': 0.0015162774361670017, 'sad': 0.0023585306480526924, 'surprised': 0.0007607961306348443}",Straight up.
MATT,00:01:02,00:01:04,fearful,"{'angry': 8.442476246273145e-05, 'disgust': 7.765492773614824e-05, 'fearful': 0.999272882938385, 'happy': 0.0001862253266153857, 'neutral': 6.10690622124821e-05, 'sad': 0.0002557725820224732, 'surprised': 6.209028651937842e-05}",(sighs) I'm so happy to be back here with you guys.
