speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:05,Neutral,"{'Angry': 1.186064961522515e-11, 'Disgusted': 6.9746942596427e-13, 'Fearful': 1.6406483376724124e-13, 'Happy': 2.3190598746891666e-11, 'Neutral': 1.0, 'Other': 5.928065791071038e-14, 'Sad': 2.6651821374845674e-11, 'Surprised': 3.028941030283616e-12, 'Unknown': 3.7811838079007676e-13}","Hello everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
LIAM,00:00:05,00:00:08,Surprised,"{'Angry': 0.10757289826869965, 'Disgusted': 0.05965636298060417, 'Fearful': 0.0344100296497345, 'Happy': 0.057270895689725876, 'Neutral': 0.19563040137290955, 'Other': 0.00011860731319757178, 'Sad': 0.11352626234292984, 'Surprised': 0.43123334646224976, 'Unknown': 0.0005811667651869357}",(high-pitched noises)
MATT,00:00:08,00:00:21,Neutral,"{'Angry': 0.0009645324316807091, 'Disgusted': 0.009089861065149307, 'Fearful': 0.00045526886242441833, 'Happy': 0.12770827114582062, 'Neutral': 0.7750140428543091, 'Other': 0.03964811563491821, 'Sad': 0.0008272616541944444, 'Surprised': 0.03866291046142578, 'Unknown': 0.0076296464540064335}","Ooh! Got into the upper echelon of notes there. Before we jump into tonight's session, we do have some quick announcements to get through, beginning with our sponsor for the evening, Deck of Many. Sam."
SAM,00:00:21,00:00:59,Neutral,"{'Angry': 0.00031530819251202047, 'Disgusted': 7.877102689235471e-06, 'Fearful': 5.018949309487652e-07, 'Happy': 5.295857772580348e-05, 'Neutral': 0.9996131062507629, 'Other': 2.9976622499816585e-06, 'Sad': 2.300532059962279e-06, 'Surprised': 1.1514551943037077e-06, 'Unknown': 3.855363502225373e-06}","Our sponsor's are Deck of Many tonight, so tonight we've put together a deck of many characters. These cards are all the ingredients you need to get a classic Sam Riegel advertisement. It's stuff like, ""offensive accent,"" or ""parody song that we can't have the rights to,"" or ""dad joke,"" or ""offensive,"" or ""offensive."" So I'm going to pick three things randomly in this deck, and we're going to make a character for tonight. Okay, number one! Santa Claus. Number two, France. Number three, Doctor. All right, let's go to the props. Let's see what we got here."
TRAVIS,00:00:59,00:01:01,Happy,"{'Angry': 5.004044851375511e-06, 'Disgusted': 9.762403351487592e-06, 'Fearful': 1.3677545211976394e-06, 'Happy': 0.9982563853263855, 'Neutral': 0.001693478086963296, 'Other': 6.978049214012572e-07, 'Sad': 1.6116371625685133e-05, 'Surprised': 1.661700662225485e-05, 'Unknown': 4.806236120202811e-07}","Oh good, they've labeled them."
SAM,00:01:01,00:01:03,Happy,"{'Angry': 0.0001593257620697841, 'Disgusted': 6.879289139760658e-05, 'Fearful': 4.009182703157421e-06, 'Happy': 0.9983215928077698, 'Neutral': 0.0007570113521069288, 'Other': 2.521489705031854e-06, 'Sad': 8.086701200227253e-06, 'Surprised': 0.0006778538809157908, 'Unknown': 7.664512509109045e-07}","Okay, got a doctor thing,"
SAM,00:01:03,00:01:11,Happy,"{'Angry': 2.9555392799807123e-08, 'Disgusted': 3.312268574973132e-07, 'Fearful': 8.152385788662286e-08, 'Happy': 0.9999908208847046, 'Neutral': 1.8503640148992417e-06, 'Other': 3.129271135549061e-07, 'Sad': 2.9454645300575066e-07, 'Surprised': 5.576901163095727e-09, 'Unknown': 6.374809345288668e-06}","Got a-- Oh god, yeah, got that. A French thing. Let's see what's a French one."
SAM,00:01:11,00:01:21,Happy,"{'Angry': 0.0001622819690965116, 'Disgusted': 0.000748095684684813, 'Fearful': 2.3064732886268757e-05, 'Happy': 0.990975558757782, 'Neutral': 0.005951619707047939, 'Other': 0.0012019122950732708, 'Sad': 5.6344069889746606e-05, 'Surprised': 1.5047045053506736e-05, 'Unknown': 0.00086607487173751}","Oh shit. Wait, these aren't peeled, are they? Let's just go with it, we'll go with it. Okay, so I now present Dr. Pierre Santa Claus."
ASHLEY,00:01:21,00:01:24,Happy,"{'Angry': 0.014765177853405476, 'Disgusted': 0.04527406767010689, 'Fearful': 0.004578996915370226, 'Happy': 0.6913360357284546, 'Neutral': 0.07184310257434845, 'Other': 0.016522308811545372, 'Sad': 0.004524195566773415, 'Surprised': 0.002356042852625251, 'Unknown': 0.1488000452518463}","Nope, that's not how you put on a shirt."
SAM,00:01:24,00:01:40,Happy,"{'Angry': 1.1055668380777206e-08, 'Disgusted': 9.124799049686771e-08, 'Fearful': 1.2379046232524615e-08, 'Happy': 0.9999995231628418, 'Neutral': 8.544483165451311e-08, 'Other': 5.41502664930249e-08, 'Sad': 1.834662199939885e-08, 'Surprised': 9.324930161369593e-09, 'Unknown': 1.766993449336951e-07}","Ho, ho, ho-jour! It is I, Pierre Santa Claus! Deck of Many just launched their Vendredi Noir , that's Black Friday, sales this year early. Goddamn it! (laughter)"
