speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:05,happy,"{'angry': 0.0004984816769137979, 'disgust': 7.316302799154073e-05, 'fearful': 0.0002508302277419716, 'happy': 0.9986268281936646, 'neutral': 0.00014954722428228706, 'sad': 0.00015178696776274592, 'surprised': 0.0002493110951036215}","Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:05,00:00:19,happy,"{'angry': 0.0013636001385748386, 'disgust': 0.0003094685962423682, 'fearful': 0.004354206845164299, 'happy': 0.9893805980682373, 'neutral': 0.0002752746222540736, 'sad': 0.00032783267670311034, 'surprised': 0.003989111166447401}","(discordant shouting) (laughter) Before we start tonight's game, we do have some announcements to get through. Beginning with our first of two sponsors tonight, D&D Beyond. Sam."
SAM,00:00:19,00:00:48,happy,"{'angry': 0.005423068068921566, 'disgust': 0.0019972152076661587, 'fearful': 0.11404874175786972, 'happy': 0.6321752667427063, 'neutral': 0.005381512455642223, 'sad': 0.005418066866695881, 'surprised': 0.23555609583854675}","Guys you may have noticed that I haven't done a D&D Beyond ad in quite some time. Now, they haven't said anything about it, but I think it's because I'm on some sort of probation. Maybe it was all the Scottish accents, maybe it was the fart jokes, maybe there weren't enough fart jokes, I don't know. But clearly I'm on some sort of probation. So tonight, I'm going to do everything by the book. Nothing crass, nothing silly, just the advertising words as written. And to keep me on track, Ashley over here has volunteered. Ash?"
ASHLEY,00:00:48,00:00:50,fearful,"{'angry': 0.000125435326481238, 'disgust': 6.714952178299427e-05, 'fearful': 0.9980159997940063, 'happy': 0.000650661182589829, 'neutral': 0.0002132353838533163, 'sad': 6.588472751900554e-05, 'surprised': 0.000861567270476371}",Yeah.
SAM,00:00:50,00:00:51,happy,"{'angry': 0.01121785119175911, 'disgust': 0.0009338368545286357, 'fearful': 0.038350362330675125, 'happy': 0.9434090256690979, 'neutral': 0.003942954819649458, 'sad': 0.0015111668035387993, 'surprised': 0.0006349138566292822}",Do not let me stray from the script.
ASHLEY,00:00:51,00:00:54,happy,"{'angry': 0.06439273059368134, 'disgust': 0.0006564499344676733, 'fearful': 0.033905282616615295, 'happy': 0.8828644156455994, 'neutral': 0.0037130757700651884, 'sad': 0.013800637796521187, 'surprised': 0.0006673772004432976}","No no no, I got you, you're good."
SAM,00:00:54,00:01:07,happy,"{'angry': 0.00048737850738689303, 'disgust': 0.00018737396749202162, 'fearful': 0.003175536170601845, 'happy': 0.9920126795768738, 'neutral': 0.00026630552019923925, 'sad': 0.00027233752189204097, 'surprised': 0.0035984416026622057}","Okay this episode is sponsored by our friends D&D Beyond, and the new Tasha's Cauldron of Everything. The most ambitious, biggest expansion source book in years. You know what is funny, when I'm at home, my biggest expansion is something a little less literary--"
ASHLEY,00:01:07,00:01:09,happy,"{'angry': 0.00048092883662320673, 'disgust': 0.00014738128811586648, 'fearful': 0.0011953258654102683, 'happy': 0.9972488284111023, 'neutral': 0.00027532398235052824, 'sad': 0.00012091823009541258, 'surprised': 0.0005312647554092109}","Sam, no, no, no!"
SAM,00:01:09,00:01:31,happy,"{'angry': 0.0003863878664560616, 'disgust': 0.00016467057866975665, 'fearful': 0.0008118959376588464, 'happy': 0.9977647066116333, 'neutral': 0.00019954502931796014, 'sad': 0.0001810340181691572, 'surprised': 0.0004917857586406171}","Oh, thank you, thank you, Ashley, yes, you're right. Okay. Players can experiment with character builds by using 22 new subclasses. While DMs can liven up their campaigns with an expanded toolkit, puzzle guides, and unnatural environments like magic storms. You know what, magic storms sounds like a hip R&B album. ♪ Ooh, magic storms, keep you warm, oh good... ♪"
ASHLEY,00:01:31,00:01:36,fearful,"{'angry': 0.0012288223952054977, 'disgust': 0.0002414258342469111, 'fearful': 0.9938987493515015, 'happy': 0.003062052885070443, 'neutral': 0.0002748136466834694, 'sad': 0.0009382806019857526, 'surprised': 0.00035577474045567214}","(clicks training clicker) Hey, no. (laughter) Shush! Sit down."
SAM,00:01:36,00:01:39,fearful,"{'angry': 0.00037538399919867516, 'disgust': 0.000225421303184703, 'fearful': 0.9920341372489929, 'happy': 0.0006699733203276992, 'neutral': 0.00030072161462157965, 'sad': 0.00022953285952098668, 'surprised': 0.006164915859699249}",(dog whimpering) Good boy.
SAM,00:01:39,00:01:51,happy,"{'angry': 0.0004653456271626055, 'disgust': 0.00017112800560425967, 'fearful': 0.004235561471432447, 'happy': 0.9920256733894348, 'neutral': 0.00043627238483168185, 'sad': 0.00034675258211791515, 'surprised': 0.0023193066008388996}","Okay. The digital collection on the D&D Beyond makes it easy to include Tasha's content in your character sheet and campaign, and master tier subscribers can share the book with everyone in their campaign for free, and speaking of free..."
ASHLEY,00:01:51,00:01:56,happy,"{'angry': 0.0004301700391806662, 'disgust': 0.00010273875523125753, 'fearful': 0.0019511030986905098, 'happy': 0.9953064322471619, 'neutral': 0.0001524081890238449, 'sad': 0.00012970934039913118, 'surprised': 0.0019274866208434105}",Hey. (laughter)
SAM,00:01:56,00:01:59,happy,"{'angry': 0.00048817635979503393, 'disgust': 0.00041999793029390275, 'fearful': 0.044317591935396194, 'happy': 0.9500037431716919, 'neutral': 0.00019770981452893466, 'sad': 0.002911327639594674, 'surprised': 0.0016614521155133843}",Oh! Oh! (laughter)
ASHLEY,00:01:59,00:02:05,happy,"{'angry': 0.2718331813812256, 'disgust': 0.006953369360417128, 'fearful': 0.0746108889579773, 'happy': 0.39796391129493713, 'neutral': 0.007024570368230343, 'sad': 0.23828382790088654, 'surprised': 0.0033301999792456627}",No! (laughter) No! (laughter) Off.
SAM,00:02:05,00:02:15,happy,"{'angry': 0.00023471885651815683, 'disgust': 0.0002944775333162397, 'fearful': 0.0053319176658988, 'happy': 0.9928362965583801, 'neutral': 0.00021127588115632534, 'sad': 0.0006728910375386477, 'surprised': 0.0004184439603704959}","(growling bark) Okay, D&D Beyond is extending their pre-order perks to anyone who picks up a copy of Tasha's-- (laughter)"
SAM,00:02:15,00:02:26,happy,"{'angry': 0.00048690667608752847, 'disgust': 0.00020316867448855191, 'fearful': 0.004535977263003588, 'happy': 0.9927645325660706, 'neutral': 0.00022778565471526235, 'sad': 0.0002603073953650892, 'surprised': 0.0015214253216981888}","-- before Tuesday, November 24, 2020. And this includes 11 exclusive character sheet backdrops and frames plus a limited edition Cauldron Digital Dice Set."
ASHLEY,00:02:26,00:02:30,surprised,"{'angry': 8.008453733054921e-05, 'disgust': 3.204015229130164e-05, 'fearful': 6.612732977373526e-05, 'happy': 0.0006410900969058275, 'neutral': 0.0001496326003689319, 'sad': 0.00012664853420574218, 'surprised': 0.9989044666290283}",Don't do it. (laughter)
SAM,00:02:30,00:02:32,fearful,"{'angry': 0.00015959006850607693, 'disgust': 6.293507613008842e-05, 'fearful': 0.9994019269943237, 'happy': 0.00010297484550392255, 'neutral': 6.128273525973782e-05, 'sad': 0.00014851926243864, 'surprised': 6.275653140619397e-05}",(shouting Irish accent) Top of the morning to...
ASHLEY,00:02:32,00:02:33,fearful,"{'angry': 0.013747893273830414, 'disgust': 0.005089252255856991, 'fearful': 0.5586106777191162, 'happy': 0.3644375503063202, 'neutral': 0.0007641111733391881, 'sad': 0.05624997243285179, 'surprised': 0.0011004616972059011}",No! (laughter)
ASHLEY,00:02:33,00:02:36,happy,"{'angry': 0.13204798102378845, 'disgust': 0.00086191575974226, 'fearful': 0.3811929523944855, 'happy': 0.47877591848373413, 'neutral': 0.0016421109903603792, 'sad': 0.0030103230383247137, 'surprised': 0.002468835562467575}",Bad dog!
SAM,00:02:36,00:02:50,happy,"{'angry': 0.0008290272671729326, 'disgust': 0.0009686658740974963, 'fearful': 0.009003289975225925, 'happy': 0.9795555472373962, 'neutral': 0.0007293137605302036, 'sad': 0.008358804509043694, 'surprised': 0.0005552683142013848}","Check it all out now-- (laughter) Check it all out now at bit.ly/CRTashas and thanks to them for continuing to support the show. (snarls, barks) (laughter) (clicker clicks)"
ASHLEY,00:02:50,00:02:53,happy,"{'angry': 0.00017343179206363857, 'disgust': 0.00011434231419116259, 'fearful': 0.00020007201237604022, 'happy': 0.9989582300186157, 'neutral': 0.00011621163866948336, 'sad': 0.00028936011949554086, 'surprised': 0.00014839856885373592}",It's so loud. (laughter)
MATT,00:02:53,00:03:06,fearful,"{'angry': 0.0023014284670352936, 'disgust': 0.0017940866528078914, 'fearful': 0.5766777992248535, 'happy': 0.4077218174934387, 'neutral': 0.0015549621311947703, 'sad': 0.006518240086734295, 'surprised': 0.003431675024330616}","All right, thank you, Sam, thank you, Ashley, and thank you, D&D Beyond. (laughter) Live recording, you never know."
MATT,00:03:06,00:03:18,happy,"{'angry': 0.0003856965631712228, 'disgust': 0.00015153957065194845, 'fearful': 0.00044936491758562624, 'happy': 0.9982845187187195, 'neutral': 0.00012440972204785794, 'sad': 0.0001647012250032276, 'surprised': 0.00043982802890241146}","Yeah. So our second sponsor is Dungeon Craft. So for those who aren't familiar, our friends at Dungeon Craft sponsored tonight's episode for their Hell & High Water 2D terrain box."
MATT,00:03:18,00:03:26,happy,"{'angry': 0.0004014550941064954, 'disgust': 0.0002551852376200259, 'fearful': 0.0009269848233088851, 'happy': 0.9732686281204224, 'neutral': 0.0003045558405574411, 'sad': 0.0003417779807932675, 'surprised': 0.024501429870724678}","Yep, 2D. Like ""two dee,"" not ""tooty."" You can if you want to, I guess, don't let me..."
