speaker,start_time,end_time,reason
ASHLEY,00:00:07,00:00:07,invalid_range
MARISHA,00:02:17,00:02:17,invalid_range
ALL,00:04:14,00:04:14,invalid_range
SAM,00:05:16,00:05:16,invalid_range
LAURA,00:05:18,00:05:18,invalid_range
SAM,00:05:21,00:05:21,invalid_range
LAURA,00:05:22,00:05:22,invalid_range
LAURA,00:05:23,00:05:23,invalid_range
MARISHA,00:05:37,00:05:37,invalid_range
LIAM,00:06:54,00:06:54,invalid_range
LAURA,00:07:24,00:07:24,invalid_range
LAURA,00:07:50,00:07:50,invalid_range
LAURA,00:07:51,00:07:51,invalid_range
TRAVIS,00:08:06,00:08:06,invalid_range
LAURA,00:08:09,00:08:09,invalid_range
SAM,00:08:11,00:08:11,invalid_range
TRAVIS,00:08:13,00:08:13,invalid_range
MARISHA,00:08:17,00:08:17,invalid_range
MATT,00:08:39,00:08:39,invalid_range
LAURA,00:08:40,00:08:40,invalid_range
TALIESIN,00:10:30,00:10:30,invalid_range
MATT,00:12:34,00:12:34,invalid_range
SAM,00:12:57,00:12:57,invalid_range
SAM,00:13:04,00:13:04,invalid_range
MATT,00:13:22,00:13:22,invalid_range
MATT,00:14:03,00:14:03,invalid_range
TALIESIN,00:14:05,00:14:05,invalid_range
MATT,00:14:08,00:14:08,invalid_range
LAURA,00:14:11,00:14:11,invalid_range
LIAM,00:14:45,00:14:45,invalid_range
TRAVIS,00:14:55,00:14:55,invalid_range
LAURA,00:15:06,00:15:06,invalid_range
LIAM,00:15:14,00:15:14,invalid_range
MATT,00:15:18,00:15:18,invalid_range
LIAM,00:15:24,00:15:24,invalid_range
MATT,00:15:25,00:15:25,invalid_range
MATT,00:15:42,00:15:42,invalid_range
MARISHA,00:16:06,00:16:06,invalid_range
LAURA,00:17:01,00:17:01,invalid_range
TALIESIN,00:17:04,00:17:04,invalid_range
TALIESIN,00:17:10,00:17:10,invalid_range
MATT,00:17:24,00:17:24,invalid_range
SAM,00:17:58,00:17:58,invalid_range
TRAVIS,00:18:36,00:18:36,invalid_range
MATT,00:18:38,00:18:38,invalid_range
TRAVIS,00:18:46,00:18:46,invalid_range
MATT,00:18:52,00:18:52,invalid_range
LAURA,00:19:20,00:19:20,invalid_range
LAURA,00:19:34,00:19:34,invalid_range
LIAM,00:19:36,00:19:36,invalid_range
LAURA,00:20:11,00:20:11,invalid_range
TRAVIS,00:20:23,00:20:23,invalid_range
TALIESIN,00:20:29,00:20:29,invalid_range
ASHLEY,00:20:40,00:20:40,invalid_range
SAM,00:20:47,00:20:47,invalid_range
MARISHA,00:20:58,00:20:58,invalid_range
LIAM,00:21:28,00:21:28,invalid_range
MARISHA,00:21:36,00:21:36,invalid_range
MARISHA,00:21:40,00:21:40,invalid_range
MARISHA,00:21:41,00:21:41,invalid_range
SAM,00:21:42,00:21:42,invalid_range
SAM,00:21:54,00:21:54,invalid_range
TRAVIS,00:22:14,00:22:14,invalid_range
MARISHA,00:22:31,00:22:31,invalid_range
LAURA,00:22:36,00:22:36,invalid_range
MATT,00:23:00,00:23:00,invalid_range
ASHLEY,00:23:36,00:23:36,invalid_range
LAURA,00:23:43,00:23:43,invalid_range
LIAM,00:23:50,00:23:50,invalid_range
