speaker,start_time,end_time,reason
MATT,00:06:06,00:06:06,invalid_range
SAM,00:20:07,00:20:07,invalid_range
MARY,00:52:01,00:52:01,invalid_range
SAM,01:05:19,01:05:19,invalid_range
MATT,01:08:38,01:08:38,invalid_range
MARY,01:10:47,01:10:47,invalid_range
LAURA,01:12:10,01:12:10,invalid_range
LAURA,01:18:30,01:18:30,invalid_range
LAURA,01:34:47,01:34:47,invalid_range
TRAVIS,01:36:00,01:36:00,invalid_range
TRAVIS,01:36:19,01:36:19,invalid_range
MATT,02:00:08,02:00:08,invalid_range
MARY,02:00:32,02:00:32,invalid_range
MARY,02:13:23,02:13:23,invalid_range
TALIESIN,02:16:39,02:16:39,invalid_range
TALIESIN,02:18:33,02:18:33,invalid_range
LAURA,02:21:28,02:21:28,invalid_range
LAURA,02:22:01,02:22:01,invalid_range
SAM,02:22:05,02:22:05,invalid_range
SAM,02:22:32,02:22:32,invalid_range
MARY,02:24:09,02:24:09,invalid_range
FELICIA,02:26:44,02:26:44,invalid_range
MATT,02:33:25,02:33:25,invalid_range
LAURA,02:40:50,02:40:50,invalid_range
MATT,02:42:42,02:42:42,invalid_range
FELICIA,02:42:48,02:42:48,invalid_range
LAURA,02:42:55,02:42:55,invalid_range
ZAC,02:43:30,02:43:30,invalid_range
MATT,02:48:27,02:48:27,invalid_range
ALL,03:01:57,,missing_end_time
