speaker,start_time,end_time,reason
LAURA,00:01:52,00:01:52,invalid_range
LAURA,00:02:17,00:02:17,invalid_range
SAM,00:02:18,00:02:18,invalid_range
LIAM,00:02:22,00:02:22,invalid_range
MARISHA,00:03:08,00:03:08,invalid_range
LAURA,00:03:11,00:03:11,invalid_range
TRAVIS,00:04:57,00:04:57,invalid_range
MATT,00:05:20,00:05:20,invalid_range
MARISHA,00:05:22,00:05:22,invalid_range
TRAVIS,00:06:18,00:06:18,invalid_range
MATT,00:06:20,00:06:20,invalid_range
MATT,00:11:57,00:11:57,invalid_range
SAM,00:14:12,00:14:12,invalid_range
LAURA,00:14:21,00:14:21,invalid_range
LAURA,00:15:44,00:15:44,invalid_range
SAM,00:16:47,00:16:47,invalid_range
MATT,00:17:31,00:17:31,invalid_range
TRAVIS,00:17:46,00:17:46,invalid_range
SAM,00:18:48,00:18:48,invalid_range
MATT,00:19:07,00:19:07,invalid_range
MATT,00:19:14,00:19:14,invalid_range
MATT,00:19:35,00:19:35,invalid_range
SAM,00:22:43,00:22:43,invalid_range
MATT,00:23:34,00:23:34,invalid_range
MARISHA,00:24:09,00:24:09,invalid_range
SAM,00:24:48,00:24:48,invalid_range
MARISHA,00:26:41,00:26:41,invalid_range
MARISHA,00:26:43,00:26:43,invalid_range
TRAVIS,00:27:20,00:27:20,invalid_range
LIAM,00:27:33,00:27:33,invalid_range
MATT,00:28:40,00:28:40,invalid_range
MATT,00:28:57,00:28:57,invalid_range
MATT,00:29:05,00:29:05,invalid_range
MATT,00:29:10,00:29:10,invalid_range
MATT,00:30:04,00:30:04,invalid_range
TRAVIS,00:30:32,00:30:32,invalid_range
TRAVIS,00:31:46,00:31:46,invalid_range
LIAM,00:31:53,00:31:53,invalid_range
SAM,00:34:56,00:34:56,invalid_range
SAM,00:35:16,00:35:16,invalid_range
SAM,00:36:59,00:36:59,invalid_range
LAURA,00:37:27,00:37:27,invalid_range
TALIESIN,00:37:47,00:37:47,invalid_range
MARISHA,00:38:03,00:38:03,invalid_range
ASHLEY,00:38:08,00:38:08,invalid_range
LIAM,00:38:19,00:38:19,invalid_range
MATT,00:39:07,00:39:07,invalid_range
LAURA,00:40:07,00:40:07,invalid_range
TALIESIN,00:40:29,00:40:29,invalid_range
TRAVIS,00:41:00,00:41:00,invalid_range
MATT,00:43:12,00:43:12,invalid_range
MATT,00:45:04,00:45:04,invalid_range
LIAM,00:46:01,00:46:01,invalid_range
LAURA,00:47:43,00:47:43,invalid_range
TRAVIS,00:49:06,00:49:06,invalid_range
TRAVIS,00:52:38,00:52:38,invalid_range
MATT,00:53:09,00:53:09,invalid_range
ASHLEY,00:54:04,00:54:04,invalid_range
MATT,00:55:12,00:55:12,invalid_range
MATT,00:55:25,00:55:25,invalid_range
MATT,00:56:33,00:56:33,invalid_range
LIAM,00:56:50,00:56:50,invalid_range
MATT,00:56:59,00:56:59,invalid_range
LIAM,00:57:25,00:57:25,invalid_range
LAURA,00:59:26,00:59:26,invalid_range
LAURA,00:59:29,00:59:29,invalid_range
LIAM,01:00:09,01:00:09,invalid_range
LIAM,01:00:14,01:00:14,invalid_range
TALIESIN,01:00:15,01:00:15,invalid_range
MARISHA,01:00:19,01:00:19,invalid_range
LIAM,01:00:24,01:00:24,invalid_range
LAURA,01:00:25,01:00:25,invalid_range
TALIESIN,01:00:29,01:00:29,invalid_range
MATT,01:00:33,01:00:33,invalid_range
MATT,01:01:09,01:01:09,invalid_range
MATT,01:01:48,01:01:48,invalid_range
LIAM,01:01:51,01:01:51,invalid_range
TRAVIS,01:04:18,01:04:18,invalid_range
MARISHA,01:04:19,01:04:19,invalid_range
TRAVIS,01:05:19,01:05:19,invalid_range
LIAM,01:05:19,01:05:19,invalid_range
LAURA,01:05:57,01:05:57,invalid_range
MARISHA,01:06:01,01:06:01,invalid_range
LAURA,01:06:04,01:06:04,invalid_range
ASHLEY,01:06:05,01:06:05,invalid_range
TRAVIS,01:06:52,01:06:52,invalid_range
MATT,01:06:54,01:06:54,invalid_range
MATT,01:07:24,01:07:24,invalid_range
TRAVIS,01:08:36,01:08:36,invalid_range
LAURA,01:08:46,01:08:46,invalid_range
MATT,01:08:50,01:08:50,invalid_range
TALIESIN,01:08:54,01:08:54,invalid_range
LAURA,01:09:09,01:09:09,invalid_range
TALIESIN,01:09:40,01:09:40,invalid_range
ASHLEY,01:09:44,01:09:44,invalid_range
TRAVIS,01:10:04,01:10:04,invalid_range
LIAM,01:10:33,01:10:33,invalid_range
MARISHA,01:11:06,01:11:06,invalid_range
SAM,01:11:33,01:11:33,invalid_range
TALIESIN,01:12:14,01:12:14,invalid_range
TRAVIS,01:12:17,01:12:17,invalid_range
TRAVIS,01:12:21,01:12:21,invalid_range
TRAVIS,01:13:15,01:13:15,invalid_range
LAURA,01:13:21,01:13:21,invalid_range
TALIESIN,01:15:43,01:15:43,invalid_range
SAM,01:15:49,01:15:49,invalid_range
MARISHA,01:15:58,01:15:58,invalid_range
TALIESIN,01:16:42,01:16:42,invalid_range
MARISHA,01:16:43,01:16:43,invalid_range
LAURA,01:17:52,01:17:52,invalid_range
MATT,01:18:02,01:18:02,invalid_range
MATT,01:19:50,01:19:50,invalid_range
LIAM,01:20:26,01:20:26,invalid_range
LAURA,01:20:31,01:20:31,invalid_range
TALIESIN,01:20:39,01:20:39,invalid_range
MARISHA,01:20:46,01:20:46,invalid_range
SAM,01:22:01,01:22:01,invalid_range
LAURA,01:22:14,01:22:14,invalid_range
ASHLEY,01:22:17,01:22:17,invalid_range
LAURA,01:23:05,01:23:05,invalid_range
SAM,01:23:09,01:23:09,invalid_range
MARISHA,01:23:28,01:23:28,invalid_range
LAURA,01:23:39,01:23:39,invalid_range
LIAM,01:23:44,01:23:44,invalid_range
MATT,01:24:01,01:24:01,invalid_range
MARISHA,01:24:12,01:24:12,invalid_range
LIAM,01:24:21,01:24:21,invalid_range
LAURA,01:24:36,01:24:36,invalid_range
MATT,01:24:47,01:24:47,invalid_range
LAURA,01:24:50,01:24:50,invalid_range
SAM,01:25:00,01:25:00,invalid_range
MARISHA,01:25:21,01:25:21,invalid_range
