speaker,start_time,end_time,reason
ASHLEY,00:00:28,00:00:28,invalid_range
TRAVIS,00:01:35,00:01:35,invalid_range
SAM,00:02:18,00:02:18,invalid_range
TRAVIS,00:02:47,00:02:47,invalid_range
MATT,00:02:52,00:02:52,invalid_range
LAURA,00:02:54,00:02:54,invalid_range
LAURA,00:03:03,00:03:03,invalid_range
LAURA,00:03:48,00:03:48,invalid_range
LAURA,00:03:51,00:03:51,invalid_range
LAURA,00:03:52,00:03:52,invalid_range
ASHLEY,00:03:57,00:03:57,invalid_range
TALIESIN,00:03:59,00:03:59,invalid_range
LAURA,00:04:03,00:04:03,invalid_range
LAURA,00:04:06,00:04:06,invalid_range
LAURA,00:04:18,00:04:18,invalid_range
LAURA,00:04:41,00:04:41,invalid_range
MATT,00:04:54,00:04:54,invalid_range
LAURA,00:04:59,00:04:59,invalid_range
TALIESIN,00:05:20,00:05:20,invalid_range
MATT,00:12:38,00:12:38,invalid_range
TALIESIN,00:12:42,00:12:42,invalid_range
MARISHA,00:13:13,00:13:13,invalid_range
SAM,00:13:15,00:13:15,invalid_range
LIAM,00:13:19,00:13:19,invalid_range
TALIESIN,00:13:25,00:13:25,invalid_range
TALIESIN,00:15:06,00:15:06,invalid_range
MATT,00:19:33,00:19:33,invalid_range
MATT,00:19:35,00:19:35,invalid_range
MARISHA,00:23:02,00:23:02,invalid_range
SAM,00:24:53,00:24:53,invalid_range
SAM,00:25:52,00:25:52,invalid_range
SAM,00:26:05,00:26:05,invalid_range
TRAVIS,00:26:13,00:26:13,invalid_range
TRAVIS,00:26:50,00:26:50,invalid_range
SAM,00:26:57,00:26:57,invalid_range
LAURA,00:27:01,00:27:01,invalid_range
TRAVIS,00:30:56,00:30:56,invalid_range
SAM,00:31:12,00:31:12,invalid_range
LAURA,00:31:17,00:31:17,invalid_range
TRAVIS,00:31:44,00:31:44,invalid_range
MATT,00:32:50,00:32:50,invalid_range
MARISHA,00:36:08,00:36:08,invalid_range
MATT,00:36:37,00:36:37,invalid_range
LAURA,00:36:37,00:36:37,invalid_range
MATT,00:37:44,00:37:44,invalid_range
ASHLEY,00:37:46,00:37:46,invalid_range
SAM,00:39:38,00:39:38,invalid_range
LIAM,00:39:50,00:39:50,invalid_range
MATT,00:40:23,00:40:23,invalid_range
SAM,00:40:31,00:40:31,invalid_range
SAM,00:40:36,00:40:36,invalid_range
TRAVIS,00:41:16,00:41:16,invalid_range
MARISHA,00:41:26,00:41:26,invalid_range
SAM,00:41:36,00:41:36,invalid_range
MARISHA,00:41:52,00:41:52,invalid_range
MARISHA,00:42:23,00:42:23,invalid_range
LAURA,00:42:45,00:42:45,invalid_range
TALIESIN,00:42:59,00:42:59,invalid_range
LAURA,00:43:01,00:43:01,invalid_range
LAURA,00:43:14,00:43:14,invalid_range
TALIESIN,00:43:19,00:43:19,invalid_range
LAURA,00:44:08,00:44:08,invalid_range
LAURA,00:44:14,00:44:14,invalid_range
TALIESIN,00:44:32,00:44:32,invalid_range
LAURA,00:44:46,00:44:46,invalid_range
LAURA,00:44:54,00:44:54,invalid_range
TALIESIN,00:44:55,00:44:55,invalid_range
LAURA,00:45:34,00:45:34,invalid_range
MATT,00:45:38,00:45:38,invalid_range
TRAVIS,00:46:03,00:46:03,invalid_range
MARISHA,00:47:05,00:47:05,invalid_range
MARISHA,00:47:20,00:47:20,invalid_range
LAURA,00:48:44,00:48:44,invalid_range
MARISHA,00:48:55,00:48:55,invalid_range
TRAVIS,00:49:05,00:49:05,invalid_range
LAURA,00:49:27,00:49:27,invalid_range
LIAM,00:50:42,00:50:42,invalid_range
TRAVIS,00:51:30,00:51:30,invalid_range
SAM,00:51:32,00:51:32,invalid_range
LAURA,00:51:41,00:51:41,invalid_range
MARISHA,00:51:53,00:51:53,invalid_range
LAURA,00:51:59,00:51:59,invalid_range
TALIESIN,00:52:21,00:52:21,invalid_range
TRAVIS,00:52:34,00:52:34,invalid_range
LAURA,00:53:17,00:53:17,invalid_range
MARISHA,00:53:31,00:53:31,invalid_range
MARISHA,00:53:34,00:53:34,invalid_range
MARISHA,00:54:14,00:54:14,invalid_range
TRAVIS,00:54:30,00:54:30,invalid_range
TRAVIS,00:54:33,00:54:33,invalid_range
LAURA,00:54:35,00:54:35,invalid_range
