speaker,start_time,end_time,text
MATT,00:00:00,00:00:05,"Hello everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:05,00:00:09,(hollering) We play Dungeons & Dragons!
MATT,00:00:09,00:00:24,"Before-- before we jump into-- why is it every episode? And it's still the most ridiculous thing. Before we jump into tonight's episode, we have some announcements to get through beginning with the first of our two sponsors, Ravensburger, Sam."
SAM,00:00:24,00:00:42,"We love Ravensburger so much-- (laughter) that we've almost learned how to say their name. But no matter how you say it, their new game Wonder Woman: Challenge of the Amazons is a must have. The Amazon tribe of warriors have lived in peace for centuries on Themyscira. I think that's how you say that."
TRAVIS,00:00:42,00:00:43,It is.
SAM,00:00:43,00:00:58,"But now enemies have invaded and it's up to you to defend the island against Ares, the Cheetah, or Circe. To celebrate their new game, Ravensburger, maybe, sent me Wonder Woman's actual golden Lariat of Truth."
ASHLEY,00:00:58,00:00:58,What?!
SAM,00:00:58,00:01:04,"Amazing. Yeah. And tonight, I'm going to see if it works. Get ready, Ash."
ASHLEY,00:01:04,00:01:05,Oh!
TRAVIS,00:01:05,00:01:08,Nope. (laughter)
ASHLEY,00:01:08,00:01:10,"Phew, I'm so glad it didn't work."
SAM,00:01:10,00:01:13,(grunts) (cheering)
ASHLEY,00:01:13,00:01:17,"Oh no, please no. Don't do it."
SAM,00:01:17,00:01:18,Okay!
LAURA,00:01:18,00:01:19,Oh god.
SAM,00:01:19,00:01:22,"Ashley is now-- oh boy. You okay, over there?"
ASHLEY,00:01:22,00:01:23,Yeah.
SAM,00:01:23,00:01:33,"Stunts! Ashley is now in a trance of truth. Everything she says must be the truth. Let's test it out with an easy one. Ashley, please state your name."
ASHLEY,00:01:33,00:01:41,Ashley Marsupial Bernadette Russell Crowe Von Chex Mix W Johnson the 24th.
SAM,00:01:41,00:01:47,"Very truthful; it works. All right, Ashley, tell me about the new Wonder Woman game."
ASHLEY,00:01:47,00:01:58,"It's a cooperative game for two to five players. Where are you strategize, face foes, and rise to meet the challenge of the Amazons together."
SAM,00:01:58,00:02:15,"Very truthful indeed. Now for a little fun. Okay, let's play some Kiss, Marry, Kill. Between Brian Foster, Laura Bailey, and Matt Mercer. Who would you rather kiss? Who would you rather marry? And who would you rather kill?"
ASHLEY,00:02:15,00:02:23,"Kiss Laura Bailey, marry Brian W. Foster, kill Sam Riegel."
SAM,00:02:23,00:02:23,Oh.
TALIESIN,00:02:23,00:02:24,"Harsh, but fair."
SAM,00:02:24,00:02:31,"Okay, that was not one of the options so that's weird. Let's just try it again. Kiss, Marry, Kill: Marisha, Liam, and Taliesin in this time."
ASHLEY,00:02:31,00:02:39,"Kill Sam Riegel, drive the body to the Brown Mountain Dam in the Angeles Forest, dump it in the creek behind the dam because no one ever looks there."
SAM,00:02:39,00:03:04,"Okay, okay, we're going to stop that right now. (laughter) Yeah, maybe we should just wrap it up. The game includes five paintable Amazon miniatures, including Diana and is available where games are sold in the US. Enter for your chance to win the game at @RavenburgerNA on Twitter. They're giving away 10 copies right now, or buy yours at bit.ly/WWChallengeOfTheAmazons and thanks to Ravensburger. Back to you, Matt."
MATT,00:03:04,00:03:08,"Thank you Sam and thank you, Ravensburger--"
TRAVIS,00:03:08,00:03:08,Sam shared that info.
MATT,00:03:08,00:03:16,"-- for supporting. Yeah, of course. Second sponsor tonight, our returning friends since the beginning of this campaign at D&D Beyond."
TRAVIS,00:03:16,00:03:18,♪ D&D Beyond! ♪ (cheering)
MATT,00:03:18,00:03:46,"They actually just launched their new character app, which is pretty rad. It gives you the chance to track your characters from the palm of your hand, wherever you are. It's on the phone now, which is really, really fricking useful, actually. All your character stats, spell slots, equipment, everything else about your character is now editable within the app character sheet. And it's always being updated with new features, which is awesome. You can get it now for Android or Apple and check out more at dndbeyond.link/CRapp."
SAM,00:03:46,00:03:48,"Wait, C R app?"
MATT,00:03:48,00:03:48,Yes.
SAM,00:03:48,00:03:51,Does that spell crap?
MARISHA,00:03:51,00:03:53,It totally does.
MATT,00:03:53,00:03:55,"Yes, it does."
MARISHA,00:03:55,00:03:56,It's crahp.
"MATT, LAURA",00:03:56,00:03:58,Crahp.
SAM,00:03:58,00:04:02,"My hat's off to you, D&D Beyond, that was an excellent trolling of us."
MATT,00:04:02,00:04:06,Yes. (laughter)
ASHLEY,00:04:06,00:04:07,Grand.
MATT,00:04:07,00:04:11,"It's pretty great. Marisha, you had some announcements."
