speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:05,Neutral,"{'Angry': 9.953444290999869e-09, 'Disgusted': 8.968648046447925e-10, 'Fearful': 9.609882334338238e-11, 'Happy': 4.6667746573803015e-06, 'Neutral': 0.9999953508377075, 'Other': 6.166474969537816e-11, 'Sad': 1.170435748321097e-08, 'Surprised': 1.1970765489976998e-09, 'Unknown': 2.2988963163661502e-11}","Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:05,00:00:07,Happy,"{'Angry': 0.013989591971039772, 'Disgusted': 0.012305479496717453, 'Fearful': 0.011903425678610802, 'Happy': 0.35452863574028015, 'Neutral': 0.2484525740146637, 'Other': 0.0002732702705543488, 'Sad': 0.020546818152070045, 'Surprised': 0.33704879879951477, 'Unknown': 0.0009513976401649415}",(hollering) We play Dungeons & Dragons!
SAM,00:00:07,00:00:12,Happy,"{'Angry': 0.00010417509474791586, 'Disgusted': 0.00037484633503481746, 'Fearful': 0.0002722751523833722, 'Happy': 0.9835737943649292, 'Neutral': 0.002115697832778096, 'Other': 3.411708166822791e-05, 'Sad': 9.499771113041788e-05, 'Surprised': 6.403145107469754e-06, 'Unknown': 0.013423644006252289}",Zop a doop a doop.
MATT,00:00:12,00:00:25,Happy,"{'Angry': 2.536474641434694e-10, 'Disgusted': 5.795106061690092e-10, 'Fearful': 1.1868371563306113e-10, 'Happy': 0.9999998807907104, 'Neutral': 6.387537609953142e-08, 'Other': 2.4519544727930054e-10, 'Sad': 4.412539666986959e-09, 'Surprised': 4.404045184092098e-10, 'Unknown': 1.774088098649429e-10}","Before we jump into tonight's episode, and I slowly bleed from one nostril from whatever that wall of sound was, we are going to get through some announcements, beginning with our two sponsors, the first of which is D&D Beyond. Sam."
SAM,00:00:25,00:01:14,Neutral,"{'Angry': 1.683807815400229e-10, 'Disgusted': 1.3537383887485266e-11, 'Fearful': 6.9938538467539946e-12, 'Happy': 1.888821543616359e-09, 'Neutral': 1.0, 'Other': 9.001477406338221e-13, 'Sad': 4.4962300549400425e-10, 'Surprised': 7.632908194388222e-11, 'Unknown': 6.237927709096258e-12}","Hit it, guys. Tonight, we're in the holiday mood, and so we're going to sing you a holiday Christmas carol. (to the tune of ""Silent Night"") ♪ Violent night ♪ ♪ Holy shit ♪ ♪ Matt's going to kill us ♪ ♪ We should quit ♪ ♪ Our fate is tied ♪ ♪ to the roll ♪ ♪ of the dices ♪ ♪ And all our stats ♪ ♪ on our tablet devices ♪ ♪ Convenient all night long ♪ ♪ Praise D&D Beyond ♪ Why don't you join in with me?"
LIAM,00:01:14,00:01:34,Sad,"{'Angry': 0.006960370112210512, 'Disgusted': 0.010067201219499111, 'Fearful': 0.0034813156817108393, 'Happy': 0.1156410276889801, 'Neutral': 0.10441659390926361, 'Other': 0.011962664313614368, 'Sad': 0.7328464388847351, 'Surprised': 0.0010195054346695542, 'Unknown': 0.013604896143078804}","Oh god. ALL ♪ Violent night ♪ ♪ We're going to die ♪ ♪ Matt makes baby sounds, ♪ ♪ Willingham cries ♪ ♪ Round the table, ♪ ♪ group of best friends ♪"
LIAM,00:01:34,00:01:35,Neutral,"{'Angry': 0.046836595982313156, 'Disgusted': 0.3028849959373474, 'Fearful': 0.0021952600218355656, 'Happy': 0.07983286678791046, 'Neutral': 0.5120404958724976, 'Other': 0.00028511291020549834, 'Sad': 0.0357697419822216, 'Surprised': 0.020063720643520355, 'Unknown': 9.123738709604368e-05}",Oof!
ALL,00:01:35,00:01:39,Happy,"{'Angry': 0.00045840730308555067, 'Disgusted': 0.00034522073110565543, 'Fearful': 0.0003127590171061456, 'Happy': 0.673622727394104, 'Neutral': 0.3209390342235565, 'Other': 0.00011185444600414485, 'Sad': 0.000500332098454237, 'Surprised': 0.0034769601188600063, 'Unknown': 0.0002327228430658579}",♪ It's such a shame that tonight's how it ends ♪
ALL,00:01:39,00:01:48,Happy,"{'Angry': 0.0005385458935052156, 'Disgusted': 0.000434907095041126, 'Fearful': 0.00018453187658451498, 'Happy': 0.877646803855896, 'Neutral': 0.041475795209407806, 'Other': 0.00028991870931349695, 'Sad': 0.0779350996017456, 'Surprised': 0.0013936219038441777, 'Unknown': 0.00010082326480187476}",♪ It's such a shame that tonight's how it ends ♪ ♪ Most of us aren't gonna live ♪ ♪ Most of us aren't gonna live ♪
MATT,00:01:48,00:01:56,Happy,"{'Angry': 1.1837507372547407e-05, 'Disgusted': 6.253256287891418e-05, 'Fearful': 0.0011049608001485467, 'Happy': 0.9869177937507629, 'Neutral': 0.00011946306767640635, 'Other': 0.0008888250449672341, 'Sad': 0.004639471881091595, 'Surprised': 0.0060451398603618145, 'Unknown': 0.00020993892394471914}",♪ Roll for initiative ♪ (laughter)
TRAVIS,00:01:56,00:01:59,Happy,"{'Angry': 0.00016972204321064055, 'Disgusted': 0.00013902918726671487, 'Fearful': 0.00010327950440114364, 'Happy': 0.9945393204689026, 'Neutral': 0.0038603590801358223, 'Other': 4.420089680934325e-05, 'Sad': 0.0005131612997502089, 'Surprised': 0.0006113412091508508, 'Unknown': 1.9724720914382488e-05}",All the angels lost their wings.
SAM,00:01:59,00:02:02,Happy,"{'Angry': 2.4724572540435474e-06, 'Disgusted': 2.4596351977379527e-06, 'Fearful': 1.0630133147060405e-06, 'Happy': 0.9999744892120361, 'Neutral': 5.20177627549856e-06, 'Other': 5.654803203469783e-07, 'Sad': 1.1557320249266922e-05, 'Surprised': 7.85299903327541e-07, 'Unknown': 1.3766705251327949e-06}",Happy holidays from D&D Beyond.
MARISHA,00:02:02,00:02:04,Surprised,"{'Angry': 4.9449219659436494e-05, 'Disgusted': 2.7980566301266663e-05, 'Fearful': 1.1883190381922759e-05, 'Happy': 0.00012500675802584738, 'Neutral': 0.00029199826531112194, 'Other': 2.261058943986427e-05, 'Sad': 1.306696140090935e-05, 'Surprised': 0.9994553923606873, 'Unknown': 2.592854343674844e-06}",Aww. (cheering)
ASHLEY,00:02:04,00:02:05,Neutral,"{'Angry': 0.0721031129360199, 'Disgusted': 0.19296742975711823, 'Fearful': 0.007312752306461334, 'Happy': 0.2178681343793869, 'Neutral': 0.35136279463768005, 'Other': 0.06802081316709518, 'Sad': 0.04019508138298988, 'Surprised': 0.04905542731285095, 'Unknown': 0.0011144571471959352}",Yay.
MATT,00:02:05,00:02:07,Happy,"{'Angry': 2.601535697976942e-07, 'Disgusted': 3.8736493479518685e-07, 'Fearful': 9.509621889947084e-08, 'Happy': 0.9999620914459229, 'Neutral': 3.254218972870149e-05, 'Other': 2.685157873827393e-08, 'Sad': 1.8955630594064132e-06, 'Surprised': 2.724287469391129e-06, 'Unknown': 1.3844276836039171e-08}","Well done, Sam."
SAM,00:02:07,00:02:09,Neutral,"{'Angry': 6.398213736247271e-05, 'Disgusted': 6.14342134213075e-05, 'Fearful': 0.00010832398402271792, 'Happy': 0.008080205880105495, 'Neutral': 0.990429699420929, 'Other': 5.922167838434689e-05, 'Sad': 0.0004912907024845481, 'Surprised': 5.3203908464638516e-05, 'Unknown': 0.0006526171346195042}",Some of those words we could hear.
MATT,00:02:09,00:02:10,Happy,"{'Angry': 0.013309658505022526, 'Disgusted': 0.007577930577099323, 'Fearful': 0.003216082463040948, 'Happy': 0.6467795968055725, 'Neutral': 0.06988021731376648, 'Other': 0.0014076612424105406, 'Sad': 0.22996686398983002, 'Surprised': 0.0024388066958636045, 'Unknown': 0.025423191487789154}",You finally got one.
