speaker,start_time,end_time,text
MATT,00:00:00,00:01:31,"Hello everyone! Welcome to Critical Role. After a two-week hiatus of our usual gaming schedule at Comic Con and then a fun-filled crazy week with half the party playing games and having fun while me and Marisha were in New Zealand, we're happy to be back. We're happy you guys are here as we continue our adventure going forward. We'll have a lot of really cool things to announce here in a moment, but let's go ahead and get that intro video started. [dramatic music]"
MATT,00:01:31,00:02:09,"Welcome back. All right, this is Critical Role: a show where a bunch of voice actors play Dungeons and Dragons. Fun crazy nerds rolling dice and good times. With the adventures of Vox Machina. You're doing all right Travis. Couple quick things: Me and Marisha wanted to say a quick shout out to all of our Critters who came to visit us in Wellington, New Zealand at Armageddon Expo. We had a strong showing of Critters that was really amazing from across the world. And Australia. People could fly over from Australia just to get us to sign their books, so there's a lot of really awesome fan love out there. So you guys are great."
MARISHA,00:02:09,00:02:13,Maybe next time all of us could go? You guys should tell them.
MATT,00:02:13,00:02:22,"Oh man, a Down Under Kiwi trip for all Critical Role would be a lot of fun. Send your local-- I guess you don't have a congressman, because you're a different country."
ORION,00:02:22,00:02:24,"Your ""Con-gressman."""
MATT,00:02:24,00:02:26,Oh there you go. Orion saved it. Thank you.
ORION,00:02:26,00:02:30,"It was there the whole time, Matt. (laughter)"
MATT,00:02:30,00:03:00,"Disadvantage. All right, so first and foremost, couple things I want to get up here. We had our sub giveaways this evening. For every 50 subs, we give away a signed player's handbook by the cast of Critical Role, a signed photo of the cast. And tonight especially we're also giving away in that package Espionage nail packs, specifically with our fantastic gamer dice on the tips. Espionage Cosmetics were gracious to give these to us, and we will give them to you. Every 50 subs."
MARISHA,00:03:00,00:03:09,Awesome. Go follow them on Twitter; I think they're @espionagemakeup. Just look it up. They're awesome.
MATT,00:03:09,00:03:45,"Google it. However, we already have a winner, before the show started. That's explodingiggy. So congratulations to explodingiggy. You already got one more to come. The fun and interesting challenge for this evening as we've been made aware, you guys, being the ridiculously amazing people you are. One of you crafted a challenge for yourself. That if we can manage to somehow get to 5,000 subscribers before the end of the show tonight, they will create and send an eight-foot Trinket. Like eight-foot-tall Trinket bear."
MARISHA,00:03:45,00:03:49,Yeah which is vague. A little. What's it made out of?
ZAC,00:03:49,00:03:52,It's a teddy bear. It's a giant teddy bear.
LAURA,00:03:52,00:03:56,And maybe his little paws can be on my shoulder the whole time I play?
MATT,00:03:56,00:04:01,"Oh, he would be a perpetual staple of the set. That would be behind you at all times."
ZAC,00:04:01,00:04:04,"Cool, not difficult at all, guys! Totally not difficult at all!"
MARISHA,00:04:04,00:04:07,"Yes, but we have to get to 5,000 subscribers."
TALIESIN,00:04:07,00:04:13,Trojan horse and a suit that they wear. They could sneak themselves onto the stage that way.
MATT,00:04:13,00:04:33,"I'll get inside the teddy bear, and I'll act out Trinket during the game. Perfect. That's not going to happen. It might happen. That's if we hit 5000 subscribers, so all your friends you know that watch the show who don't subscribe yet, tell them to. If you know anyone that hasn't seen the show yet, get them on, because a giant eight-foot bear would be pretty much the most ridiculous thing ever."
MARISHA,00:04:33,00:04:36,"Yeah, I already tweeted #8ftTrinket."
LAURA,00:04:36,00:04:41,I saw something subs for bears.
ORION,00:04:41,00:04:45,Nope. Bad idea.
