segment,frame_id,timestamp,speaker,emotion,scores
episode100_000.mp4,10,0:00:00,matt,Happy,"[0.0006278555374592543, 0.00019190028251614422, 0.0012963884510099888, 0.9736977815628052, 0.0019784746691584587, 0.0016709300689399242, 0.02053658850491047]"
episode100_000.mp4,20,0:00:00,matt,Happy,"[0.010583348572254181, 7.19514864613302e-05, 0.006511616986244917, 0.7587940096855164, 0.0028176431078463793, 0.0031910836696624756, 0.2180304080247879]"
episode100_000.mp4,30,0:00:01,matt,Happy,"[0.057916346937417984, 4.232340143062174e-05, 0.0070090764202177525, 0.5448444485664368, 0.003118017688393593, 0.00801138672977686, 0.3790583610534668]"
episode100_000.mp4,40,0:00:01,matt,Happy,"[0.024397050961852074, 0.0023111423943191767, 0.020902005955576897, 0.8096275925636292, 0.00920626800507307, 0.026348205283284187, 0.10720769315958023]"
episode100_000.mp4,50,0:00:01,matt,Happy,"[0.021134376525878906, 0.0006238027708604932, 0.03684689849615097, 0.8073828816413879, 0.007826960645616055, 0.018739497289061546, 0.107445627450943]"
episode100_000.mp4,60,0:00:02,matt,Happy,"[0.06771113723516464, 0.0007241933490149677, 0.04079579934477806, 0.5988168716430664, 0.007618306204676628, 0.043117910623550415, 0.2412157505750656]"
episode100_000.mp4,70,0:00:02,matt,Happy,"[0.033659059554338455, 0.0009764500427991152, 0.031651001423597336, 0.8228045105934143, 0.004463666118681431, 0.009572187438607216, 0.09687314182519913]"
episode100_000.mp4,80,0:00:02,matt,Happy,"[0.023655086755752563, 0.0009551821276545525, 0.038246288895606995, 0.8425856828689575, 0.004871268291026354, 0.004966197069734335, 0.08472030609846115]"
episode100_000.mp4,90,0:00:03,matt,Happy,"[0.02001122571527958, 0.0003477873106021434, 0.03396547958254814, 0.7197577357292175, 0.01135489996522665, 0.045928873121738434, 0.16863398253917694]"
episode100_000.mp4,100,0:00:03,matt,Happy,"[0.03907721862196922, 0.011530941352248192, 0.03795936703681946, 0.6069889664649963, 0.042311571538448334, 0.09599488973617554, 0.16613706946372986]"
episode100_000.mp4,110,0:00:03,matt,Happy,"[0.010027534328401089, 0.0006545992800965905, 0.036910563707351685, 0.9334379434585571, 0.002235440304502845, 0.0031820288859307766, 0.013551832176744938]"
episode100_000.mp4,120,0:00:04,matt,Happy,"[0.026218529790639877, 0.0007943552918732166, 0.011583549901843071, 0.8798012733459473, 0.0017299903556704521, 0.009670291095972061, 0.07020200788974762]"
episode100_000.mp4,130,0:00:04,matt,Happy,"[0.026936283335089684, 0.006524149794131517, 0.08667638897895813, 0.823327898979187, 0.0030368859879672527, 0.027186226099729538, 0.026312148198485374]"
episode100_000.mp4,140,0:00:04,matt,Happy,"[0.0008438797085545957, 0.000999772222712636, 0.17682944238185883, 0.7138147354125977, 0.01796296425163746, 0.03451073169708252, 0.05503854900598526]"
episode100_000.mp4,150,0:00:05,matt,Neutral,"[0.010917462408542633, 5.7560671848477796e-05, 0.0039472272619605064, 0.24048426747322083, 0.0017142858123406768, 0.059773724526166916, 0.6831055283546448]"
episode100_000.mp4,160,0:00:05,matt,Happy,"[0.04717160016298294, 0.0025226117577403784, 0.0420231856405735, 0.626113772392273, 0.004676004871726036, 0.051215119659900665, 0.2262776643037796]"
episode100_000.mp4,170,0:00:05,matt,Neutral,"[0.011836090125143528, 0.0006973094423301518, 0.01580442115664482, 0.35864922404289246, 0.010751905851066113, 0.2019919753074646, 0.400269091129303]"
episode100_000.mp4,180,0:00:06,matt,Happy,"[0.007854155264794827, 0.0001537376519991085, 0.010885193012654781, 0.891266942024231, 0.006937550380825996, 0.007524451240897179, 0.07537801563739777]"
episode100_000.mp4,190,0:00:06,matt,Happy,"[0.005313360132277012, 0.00016585631237830967, 0.01935524493455887, 0.8805447220802307, 0.006336360704153776, 0.005469298455864191, 0.08281514793634415]"
episode100_000.mp4,200,0:00:06,matt,Happy,"[0.0024050851352512836, 0.000155859233927913, 0.009949416853487492, 0.9264019727706909, 0.00816747359931469, 0.0038559867534786463, 0.04906420409679413]"
episode100_000.mp4,210,0:00:07,matt,Happy,"[0.004313169978559017, 0.0005284724174998701, 0.011387985199689865, 0.9330812096595764, 0.010191095992922783, 0.005727633833885193, 0.03477047383785248]"
episode100_000.mp4,220,0:00:07,matt,Happy,"[0.005548511631786823, 0.00037012447137385607, 0.00974973849952221, 0.9486276507377625, 0.004597930703312159, 0.002210391452535987, 0.028895730152726173]"
episode100_000.mp4,230,0:00:07,matt,Happy,"[0.005255586002022028, 0.000433598441304639, 0.008497639559209347, 0.9498942494392395, 0.004359608516097069, 0.0016040598275139928, 0.029955288395285606]"
episode100_000.mp4,240,0:00:08,matt,Happy,"[0.0070451777428388596, 0.00048149432404898107, 0.009526876732707024, 0.9535912871360779, 0.004389320965856314, 0.0015235997270792723, 0.02344222366809845]"
episode100_000.mp4,250,0:00:08,laura,Fear,"[0.011299598030745983, 0.6239975094795227, 0.05308151990175247, 0.18196389079093933, 0.048154644668102264, 0.08016161620616913, 0.0013411586405709386]"
episode100_000.mp4,250,0:00:08,liam,Happy,"[9.147313539870083e-05, 0.0014482825063169003, 0.07181065529584885, 0.8934412002563477, 0.013440425507724285, 0.004787991289049387, 0.014979992993175983]"
episode100_000.mp4,260,0:00:08,liam,Happy,"[4.323916436987929e-05, 0.0002363735402468592, 0.04627247899770737, 0.9368180632591248, 0.001838423777371645, 0.0017523032147437334, 0.013039112091064453]"
episode100_000.mp4,270,0:00:09,laura,Happy,"[0.0010098799830302596, 0.07229524850845337, 0.2052544504404068, 0.5729432702064514, 0.0573834553360939, 0.09041330218315125, 0.0007004309445619583]"
episode100_000.mp4,270,0:00:09,liam,Happy,"[0.0001489072310505435, 0.0004822970076929778, 0.025521330535411835, 0.9537681937217712, 0.005074500106275082, 0.004517382476478815, 0.010487399064004421]"
episode100_000.mp4,280,0:00:09,travis,Happy,"[4.7407422243850306e-05, 0.0001935790351126343, 0.004634804558008909, 0.9109429121017456, 0.004492226056754589, 0.0688864141702652, 0.01080259494483471]"
episode100_000.mp4,280,0:00:09,laura,Happy,"[0.000253000675002113, 0.0006295646307989955, 0.006400282494723797, 0.9797061085700989, 0.00669289892539382, 0.0032925144769251347, 0.0030257180333137512]"
episode100_000.mp4,280,0:00:09,liam,Happy,"[9.143957868218422e-05, 0.0001699515269137919, 0.01491790171712637, 0.9636526703834534, 0.0046631693840026855, 0.002222087699919939, 0.014282741583883762]"
