speaker,start_time,end_time,text
MATT,00:00:00,00:00:05,"Hello everyone, and welcome to Critical Role where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:05,00:00:08,(discordantly) We play Dungeons & Dragons!
MATT,00:00:08,00:00:18,"Before we get into tonight's episode, we do we have some announcements to get through. Beginning with our two sponsors for the night, beginning first with Petersen Games. Sam, take it away."
SAM,00:00:18,00:00:21,"(bad Dave Matthews impression) Oh oh, I didn't see you there. I was--"
MARISHA,00:00:21,00:00:24,Oh no! (laughter)
SAM,00:00:24,00:00:36,"I was jamming out to some frat fusion rock. You see, I'm Bob Matthews, Dave Matthews' ♪ younger brother. ♪ What-a would you say if I told you--"
LAURA,00:00:36,00:00:36,"I know, it's Adam Sandler!"
ASHLEY,00:00:36,00:00:37,Oh wow.
SAM,00:00:37,00:01:44,"-- if I told you that Petersen Games is the best of what's around? Yep, their brand new source book, Cthulhu Mythos Sagas: Dark ♪ Worlds ♪ make me want to ♪ eat, drink and be merry for tomorrow. ♪ ♪ Yes! ♪ All you little ants better go march into-- step into this ♪ immersive world ♪ from Sandy Petersen, as you and fellow heroes get caught-- (badly played guitar chords) in the blunders of a mad ruler, and are sent to new worlds to face unique dangers. (laughter) (terribly played chords continue) Each of the four volumes comes with professionally drawn ♪ maps ♪, beautiful illustrations and dozens before never seen monsters in a hardback book to last the ♪ ages. ♪ Do not take these chances. Get this source book and wrap it up-- (guitar chord) inside a-- (guitar chord) box or a-- (guitar chord) quiet-- (80's phone ring) Oh, hello? Hello? Oh, Bob Matthews here, kid brother of Charlottesville legend, Dave Matthews. What? Oh, it's my brother, Dave Matthews, ooh. He's a big Critter."
ASHLEY,00:01:44,00:01:47,Ooh! (laughter)
SAM,00:01:47,00:02:39,"Oh, what's that, Dave Matthews? He's telling me I shouldn't use his lyrics to sell stuff on our show. But Davy, this isn't a typical situation in these typical ti-- nope. I'm not allowed to say that either, all right. Well, he hung up. Anyway, I guess I ♪ crashed ♪ that one, but go ahead and get the hardcover-- (guitar chord) volume and PDF-- (guitar chord) plus an awesome 20 percent discount on Petersen's Cthulhu Mythos mini-- miniature line. (guitar chord) The core source book-- there's lots of words. And the four previous sagas of the series-- (awful guitar chords) when you use promo code ♪ Critical Role ♪ at checkout. ♪ Check it out now at bit.ly/CRPetersenGames... Satellite. Back to you, Matt. (laughter)"
TRAVIS,00:02:39,00:02:39,Wow.
TALIESIN,00:02:39,00:02:41,I don't what that was.
TRAVIS,00:02:41,00:02:41,I have to applaud it.
